,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbregressor__n_estimators,param_xgbregressor__min_child_weight,param_xgbregressor__max_depth,param_xgbregressor__importance_type,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,13.695300436019897,1.226435380290571,0.7772323608398437,0.09966072517939197,300,3,3,total_cover,"{'xgbregressor__n_estimators': 300, 'xgbregressor__min_child_weight': 3, 'xgbregressor__max_depth': 3, 'xgbregressor__importance_type': 'total_cover'}",0.850944793019867,0.8588666445670783,0.8258524750472643,0.8259123716418819,0.8107670612400291,0.834468669103224,0.017753529832734673,20
11,46.07084608078003,2.1850735242834265,0.8131421566009521,0.04293048284855579,830,10,5,cover,"{'xgbregressor__n_estimators': 830, 'xgbregressor__min_child_weight': 10, 'xgbregressor__max_depth': 5, 'xgbregressor__importance_type': 'cover'}",0.869728296228407,0.8249764136964216,0.8343502210087178,0.858603349279383,0.8180651618617997,0.8411446884149457,0.019809441766180737,9
12,21.16557106971741,1.3544991978888095,0.738526439666748,0.060250669439187984,520,2,3,total_gain,"{'xgbregressor__n_estimators': 520, 'xgbregressor__min_child_weight': 2, 'xgbregressor__max_depth': 3, 'xgbregressor__importance_type': 'total_gain'}",0.8542214289171104,0.8327323008382803,0.8307122611808406,0.8099431756894375,0.7865736389416405,0.8228365611134618,0.022918120147329597,28
13,43.785670328140256,2.1732431356292947,0.8622001647949219,0.03955082310620136,650,7,6,total_cover,"{'xgbregressor__n_estimators': 650, 'xgbregressor__min_child_weight': 7, 'xgbregressor__max_depth': 6, 'xgbregressor__importance_type': 'total_cover'}",0.8589730478850268,0.8396709088727623,0.830048490368386,0.8582503379069344,0.8087841109668612,0.8391453791999941,0.018777497539625248,14
14,10.102206182479858,0.5644121349109236,0.7412318706512451,0.025371535400159097,210,10,3,cover,"{'xgbregressor__n_estimators': 210, 'xgbregressor__min_child_weight': 10, 'xgbregressor__max_depth': 3, 'xgbregressor__importance_type': 'cover'}",0.8578828519056612,0.8448072441267656,0.8031946054496907,0.8034973351472703,0.8524026841341443,0.8323569441527064,0.024048836387800098,24
15,43.699770021438596,1.1374380835348101,0.8548385620117187,0.03392839182343472,690,5,6,total_gain,"{'xgbregressor__n_estimators': 690, 'xgbregressor__min_child_weight': 5, 'xgbregressor__max_depth': 6, 'xgbregressor__importance_type': 'total_gain'}",0.8665432877527213,0.8340935404813317,0.8370203500538178,0.8644225510823458,0.8125365200277315,0.8429232498795896,0.020279484642542544,6
16,78.56763668060303,1.3240401617647468,1.134880781173706,0.10240051519806061,840,10,9,total_cover,"{'xgbregressor__n_estimators': 840, 'xgbregressor__min_child_weight': 10, 'xgbregressor__max_depth': 9, 'xgbregressor__importance_type': 'total_cover'}",0.8662709958732053,0.8150583056280731,0.8093207977429169,0.8565564387801932,0.8138260136935376,0.8322065103435852,0.024120396400447233,25
17,21.672426891326904,0.77890578714438,0.7812225818634033,0.06753404748984203,210,10,9,weight,"{'xgbregressor__n_estimators': 210, 'xgbregressor__min_child_weight': 10, 'xgbregressor__max_depth': 9, 'xgbregressor__importance_type': 'weight'}",0.8671673261756068,0.8155012293891674,0.8111864324744887,0.8573186364723835,0.8151339614486263,0.8332615171920545,0.02391524340774016,22
18,6.320235967636108,0.22872654754170257,0.7205876350402832,0.12286224887060929,40,9,9,total_cover,"{'xgbregressor__n_estimators': 40, 'xgbregressor__min_child_weight': 9, 'xgbregressor__max_depth': 9, 'xgbregressor__importance_type': 'total_cover'}",0.8608243441742475,0.835272217972156,0.8298491097926011,0.8695407246565083,0.7982731055910779,0.8387519004373182,0.02515967079612183,15
19,34.72107281684875,1.5401986693512804,0.8641026496887207,0.023962893720253602,630,2,5,weight,"{'xgbregressor__n_estimators': 630, 'xgbregressor__min_child_weight': 2, 'xgbregressor__max_depth': 5, 'xgbregressor__importance_type': 'weight'}",0.8626887239234056,0.8555711656780337,0.8306812458949018,0.8292581415240043,0.8211135799414706,0.8398625713923632,0.016223862209419387,11
20,55.927472257614134,2.3739712535906334,0.8859658241271973,0.0386201034006714,720,1,8,weight,"{'xgbregressor__n_estimators': 720, 'xgbregressor__min_child_weight': 1, 'xgbregressor__max_depth': 8, 'xgbregressor__importance_type': 'weight'}",0.8718261764372438,0.8512907544183949,0.7777230890974373,0.7981650836701453,0.8102844037468995,0.8218579014740242,0.034659193481352,29
21,18.19878468513489,0.8504231101838121,0.7809205532073975,0.060586811235938155,190,7,8,total_cover,"{'xgbregressor__n_estimators': 190, 'xgbregressor__min_child_weight': 7, 'xgbregressor__max_depth': 8, 'xgbregressor__importance_type': 'total_cover'}",0.8566226553620576,0.8516551789899505,0.8362122177661611,0.8594117878532602,0.8116946801369983,0.8431193040216854,0.017640076616232785,5
22,78.33244304656982,1.2539795409862489,1.0828105926513671,0.06367561223403347,770,9,10,weight,"{'xgbregressor__n_estimators': 770, 'xgbregressor__min_child_weight': 9, 'xgbregressor__max_depth': 10, 'xgbregressor__importance_type': 'weight'}",0.8639640208893762,0.841240112159835,0.8175343829131594,0.8622295036161374,0.7936780647273043,0.8357292168611625,0.026941383415781575,19
23,19.07306041717529,1.0636968149027255,0.7770283699035645,0.05634932053776184,300,5,5,cover,"{'xgbregressor__n_estimators': 300, 'xgbregressor__min_child_weight': 5, 'xgbregressor__max_depth': 5, 'xgbregressor__importance_type': 'cover'}",0.866750363501192,0.8278816977797685,0.8529282696103222,0.8571801092557998,0.8048296279703739,0.8419140136234914,0.022553799383930505,8
24,33.55060815811157,2.1178570562690653,0.7990824222564697,0.11856750762893291,710,9,4,weight,"{'xgbregressor__n_estimators': 710, 'xgbregressor__min_child_weight': 9, 'xgbregressor__max_depth': 4, 'xgbregressor__importance_type': 'weight'}",0.8694370762330762,0.8396583190420925,0.8063011434246764,0.832364589902054,0.8212716790979142,0.8338065615399627,0.021069063713877453,21
25,70.37843990325928,4.945174178734135,1.0252657413482666,0.12044474432020259,990,6,10,weight,"{'xgbregressor__n_estimators': 990, 'xgbregressor__min_child_weight': 6, 'xgbregressor__max_depth': 10, 'xgbregressor__importance_type': 'weight'}",0.862891040071283,0.8496264603073349,0.8194889849612141,0.8381802346567166,0.8231695914105508,0.83867126228142,0.016217994148991506,16
26,52.00617733001709,1.4835141102547622,0.8783524990081787,0.0407344350389616,960,5,5,weight,"{'xgbregressor__n_estimators': 960, 'xgbregressor__min_child_weight': 5, 'xgbregressor__max_depth': 5, 'xgbregressor__importance_type': 'weight'}",0.8668559127930162,0.8284799112831157,0.8504478270758873,0.8552116472236617,0.8024034139941427,0.8406797424739647,0.022828477075779806,10
27,27.7948917388916,1.1040706338099202,0.7170917987823486,0.053546691325351316,750,7,3,total_gain,"{'xgbregressor__n_estimators': 750, 'xgbregressor__min_child_weight': 7, 'xgbregressor__max_depth': 3, 'xgbregressor__importance_type': 'total_gain'}",0.8598702277745206,0.8308850872510871,0.8006239690721761,0.8223024950464257,0.8267060127849098,0.8280775583858239,0.019013616727493694,27
28,21.998819589614868,0.46717711411952617,0.5066071033477784,0.09715501836390218,210,10,10,total_gain,"{'xgbregressor__n_estimators': 210, 'xgbregressor__min_child_weight': 10, 'xgbregressor__max_depth': 10, 'xgbregressor__importance_type': 'total_gain'}",0.8732406434992144,0.8122503918883699,0.831506182118465,0.853742076943465,0.819236031467296,0.8379950651833621,0.02256995490756681,18
29,11.102052927017212,1.3289652635138145,0.4626461029052734,0.16102353295050342,230,6,4,total_cover,"{'xgbregressor__n_estimators': 230, 'xgbregressor__min_child_weight': 6, 'xgbregressor__max_depth': 4, 'xgbregressor__importance_type': 'total_cover'}",0.8568724522900255,0.8384111267286636,0.8295532204488327,0.8512797182964468,0.8168889061469066,0.8386010847821751,0.014476942028913557,17
